"","club","ball","ball_speed","launch_angle","side_angle","backspin","sidespin","tilt_angle","total_spin","carry","total","offline","descent_angle","peak_height","to_pin","club_speed","efficiency","angle_of_attack","club_path","side_angle_deg","side_angle_dir","sidespin_rpm","sidespin_dir","tilt_angle_deg","tilt_angle_dir","club_path_deg","club_path_dir","offline_yds_abs","offline_dir","offline_yds","to_pin_dist_type","to_pin_temp","to_pin_feet","to_pin_inches","to_pin_yds","angle_of_attack_dir","angle_of_attack_deg"
"36","Wedge","Standard",61.8,33.1,"0.2 R",9449,"103 L","0.6 L",9450,64.4,65.2,"0.0",46.5,15.3,"16'6""",67,0.92,"5.0 Dn","0.8 In-Out",0.2,"R",103,"L",0.6,"L",0.8,"In-Out",0,NA,NA,"Feet","16'6",16,198,5.5,"Dn",-5
"37","Wedge","Standard",92.8,22.5,"0.6 R",8073,"176 R","1.2 R",8075,119.3,122.5,"1.8R",45.2,23.7,"12'6""",NA,NA,"--","--",0.6,"R",176,"R",1.2,"R",NA,"--",1.8,"R",1.8,"Feet","12'6",12,150,4.16666666666667,NA,NA
"38","Wedge","Standard",91.9,26.9,"2.0 L",9397,"718 L","4.4 L",9424,114.3,115.2,"8.0L",49.9,28.3,"27'8""",NA,NA,"--","--",2,"L",718,"L",4.4,"L",NA,"--",8,"L",-8,"Feet","27'8",27,332,9.22222222222222,NA,NA
"39","Wedge","Standard",36.5,21.8,"24.4 R",3594,"4883 R","53.6 R",6063,18.6,27.1,"13.0R",20.3,2.2,"25",46.2,0.79,"5.5 Dn","2.9 In-Out",24.4,"R",4883,"R",53.6,"R",2.9,"In-Out",13,"R",13,"Yards","25",75,900,25,"Dn",-5.5
"40","Wedge","Standard",24.2,29.6,"2.4 L",2732,"224 L","4.7 L",2741,10.7,15.2,"0.0L",29,1.7,"29'4""",23,1.05,"5.8 Dn","1.8 In-Out",2.4,"L",224,"L",4.7,"L",1.8,"In-Out",0,"L",0,"Feet","29'4",29,352,9.77777777777778,"Dn",-5.8
"41","Wedge","Standard",78.8,28.3,"1.1 L",9674,"105 R","0.6 R",9675,95.3,96.1,"1.4L",48.3,21.5,"29'1""",77.9,1.01,"6.7 Dn","1.5 In-Out",1.1,"L",105,"R",0.6,"R",1.5,"In-Out",1.4,"L",-1.4,"Feet","29'1",29,349,9.69444444444444,"Dn",-6.7
"42","Wedge","Standard",16.1,26.4,"2.8 L",1649,"0","0.0 R",1649,5.1,11.9,"1.0L",32,0.6,"4'2""",13.7,1.17,"4.7 Dn","0.4 In-Out",2.8,"L",0,NA,0,"R",0.4,"In-Out",1,"L",-1,"Feet","4'2",4,50,1.38888888888889,"Dn",-4.7
"43","Wedge","Standard",19.9,31.4,"6.5 L",3442,"434 R","7.2 R",3469,7.8,13,"0.8L",32.6,1.3,"2'10""",22.7,0.88,"5.9 Dn","8.2 Out-In",6.5,"L",434,"R",7.2,"R",8.2,"Out-In",0.8,"L",-0.8,"Feet","2'10",2,34,0.944444444444444,"Dn",-5.9
"44","Wedge","Standard",53.9,27.4,"1.8 L",5011,"799 L","9.1 L",5074,50.9,63.6,"7.5L",34.6,8.2,"18",46.6,1.16,"5.5 Dn","2.5 In-Out",1.8,"L",799,"L",9.1,"L",2.5,"In-Out",7.5,"L",-7.5,"Yards","18",54,648,18,"Dn",-5.5
"45","Wedge","Standard",19.2,26.4,"1.9 L",2007,"10 L","0.3 L",2007,5.3,7.6,"0.3L",17.4,1.1,"30'5""",16.6,1.16,"5.9 Dn","0.7 In-Out",1.9,"L",10,"L",0.3,"L",0.7,"In-Out",0.3,"L",-0.3,"Feet","30'5",30,365,10.1388888888889,"Dn",-5.9
